"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT07","WT08"
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-07","6.71",,"0.00","0.0","0.0","73","86","65","  200","  210","19.9","25.9",,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-08","3.36",,"0.00","0.0","0.0","79","95","66","  290","  340","13.0","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-09","5.14",,"0.00","0.0","0.0","89","104","73","   70","  130","18.1","23.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-10","11.41",,"0.00","0.0","0.0","92","103","78","  100","  130","23.0","34.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-11","6.71",,"0.00","0.0","0.0","91","104","77","  150","  140","17.0","23.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-12","10.07",,"0.00","0.0","0.0","92","101","80","  230","  250","23.9","34.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-13","12.30",,"0.00","0.0","0.0","86","90","75","  280","  230","25.9","34.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-14","8.05",,"0.00","0.0","0.0","76","84","66","  280","  280","19.9","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-15","5.37",,"0.00","0.0","0.0","77","89","65","  280","  300","19.9","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-16","6.04",,"0.00","0.0","0.0","81","94","67","  210","   10","16.1","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-17","10.74",,"0.00","0.0","0.0","84","95","70","  260","  250","21.9","33.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-18","9.62",,"0.00","0.0","0.0","78","86","67","  280","  280","25.1","30.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-19","10.51",,"0.00","0.0","0.0","81","94","70","  290","  320","28.0","40.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-20","6.93",,"0.00","0.0","0.0","85","99","70","  300","  270","14.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-21","5.14",,"0.00","0.0","0.0","88","102","71","  300","  280","15.0","21.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-22","7.61",,"0.00","0.0","0.0","90","106","74","  290","  330","19.9","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-23","5.82",,"0.00","0.0","0.0","91","103","74","  170","  210","15.0","33.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-24","7.38",,"0.00","0.0","0.0","89","100","75","  280","  290","19.9","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-25","5.59",,"0.00","0.0","0.0","87","98","73","  290","  250","15.0","19.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-26","8.28",,"0.00","0.0","0.0","87","100","73","  290","  320","17.0","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-27","6.71",,"0.00","0.0","0.0","89","101","75","  280","  110","16.1","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-28","7.61",,"0.00","0.0","0.0","89","103","74","  310","  180","17.0","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-29","7.38",,"0.00","0.0","0.0","89","101","79","  280","  300","21.9","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-30","7.16",,"0.00","0.0","0.0","87","104","73","  270","  260","19.9","23.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-05-31","8.50",,"0.00","0.0","0.0","92","102","82","  270","  340","18.1","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-01","9.62",,"0.24","0.0","0.0","88","91","69","  300","  260","28.0","36.9","    1","    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-02","5.59",,"0.07","0.0","0.0","74","89","67","   80","  340","16.1","29.1","    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-03","6.93",,"0.00","0.0","0.0","86","97","78","  280","  260","21.9","27.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-04","6.93",,"0.14","0.0","0.0","86","95","75","  320","   10","17.0","29.1",,"    1",,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-05","5.14",,"0.00","0.0","0.0","89","101","78","  190","  340","16.1","28.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-06","6.93",,"0.00","0.0","0.0","92","104","80","  270","  350","15.0","30.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-07","5.82",,"0.00","0.0","0.0","93","104","80","  300","  320","15.0","21.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-08","6.49",,"0.00","0.0","0.0","93","107","79","  280","  300","15.0","23.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-09","8.05",,"0.00","0.0","0.0","95","109","80","  280","  230","17.0","25.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-10","8.50",,"0.00","0.0","0.0","96","108","81","  290","  310","21.0","29.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-11","9.62",,"0.00","0.0","0.0","96","108","83","  290","  320","21.9","30.0",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-12","8.50",,"0.00","0.0","0.0","97","108","84","  280","  280","23.9","31.1",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-13","7.61",,"0.00","0.0","0.0","96","108","82","  190","  300","17.0","25.9",,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2025-06-14","5.59",,"0.00","0.0","0.0","96","110","82","  300","  310","15.0","21.9",,,,
